id,review,platform,date,score
GamingXP,Flawless in its ambition and almost perfect in its execution. A brave and remarkable game quite unlike any other.,ps3,2013-09-16,97
Level7.nu,"The Last of Us is a great action-adventure game that manages tocapture the feeling of post-apocalypse and survival. The story isalright but way too manipulative and borrows heavily from other,better, material. Still the segmented survival gameplay and theamazing audiovisual production makes the game an experience everybodyshould check out.",ps3,2013-09-10,80
,"Despite the breakneck pace of the prologue, it takes quite a while for The Last of Us to pick up some speed again. However, once the cold harsh winter arrives, the action (and story) ramps up. So much so, it puts most Hollywood productions to shame. [July 2013, p.76]",ps3,2013-09-04,90
,"As a game, The Last of Us will occasionally falter. Imperfect underwater mechanics and careless friendly AI that insists on blocking your path or causing unnecessary firefights can irk, but they are very minor niggles and should be treated as such. Because as an experience, The Last of Us is powerful, emotionally draining and absolutely one of the finest games of this generation. [August 2013, p70]",ps3,2013-07-12,100
Armchair Empire,"If you have a PlayStation 3 there is no reason why you shouldn't buy this game (unless you are not old enough of course). The story is incredible, the gameplay is fun, and the graphics and sound are amazing. Naughty Dog had a lot to live up to with the release, but they have delivered in spades. I just hope we don't have to wait too long for a sequel. This game is everything you were hoping for, and more. Go get it!",ps3,2013-07-11,95
Thunderbolt,"The Last of Us is a sobering conclusion to Naughty Dog’s relationship with the PlayStation 3. It is the studio’s finest game to date, marrying gameplay and fiction better than any of the Uncharted games. It’s sometimes haunting, sometimes beautiful, but more than anything else it feels real, and both you and Joel are very much vulnerable to it.",ps3,2013-07-10,100
TotalPlayStation,The Last of Us merges very good gameplay with a peerless story and unequaled production values. While it just misses transcendent status you won't find very many games that are more worth the investment of your time.,ps3,2013-07-10,90
,It's not a big surprise the game is good. Surprising is it's even better than anyone would have thought. A beautiful and atmospheric game with many moments only Alzheimer will hide them from you. [Issue#231],ps3,2013-07-09,100
,"As someone who was never a great fan of Uncharted or Jak and Daxter, I am genuinely amazed at how much I liked this game. If this isn't art, then I don't know what is. [Aug 2013, p.59]",ps3,2013-07-04,90
,"The Last of Us delights with its artistic side but can tire you with its gameplay. It tells an interesting story but doesn’t leave much room for the player. It represents a new quality in the industry but openly borrows a lot of themes from literature, movies and other games. The most important thing however is the fact that several days after I finished The Last of Us, it is still in my head, causing strange uneasiness. I guess that’s what the developers were aiming for. [CD-Action 08/2013, p.62]",ps3,2013-07-02,85
