id,review,date,score
,"There’s a scene in Left Behind proving that Naughty Dog not only has ambition to elevate games to the rank of art form, but simply does it. [05/2014, p.64]",2014-06-28,70
,"A fantastic way to extend an already brilliant narrative, and made with a hugely engaging structure. [May 2014, p.69]",2014-04-07,88
,"It's short - perhaps a little too short for the price - but Left Behind exhibits the same exceptional quality that made The Last of Us one of PS3's finest. [Issue#242, p.56]",2014-04-06,81
Riot Pixels,"It’s a pity that Naughty Dog cut this episode from the original game. Yes, it breaks the pace, but the story is worth it.",2014-03-23,75
XGN,Quotation forthcoming.,2014-03-22,90
Eurogamer Spain,Left Behind makes The Last of Us more relevant and an even better experience than the one we'd have playing only the original campaign.,2014-03-21,100
Level7.nu,"The Last of Us: Left Behind is an extension that continues in the samevein as the original. The combat system is tight and the production isimpressive. The adventure is however plagued of much padding, and astory that is more ambitious than actually good. The weaker section ofthe two in the series but worth a look if you feel you did not getenough last time.",2014-03-21,60
The Digital Fix,It cannot be stressed enough that this is gaming at its most essential and the genuine emotional power that it carries is exceptional. Do yourself a favour and turn off your phone for a few hours and get lost in the best gaming relationship you’ll likely ever have. Stunning.,2014-03-17,100
Post Arcade (National Post),A deeply unnerving yet marvelously moving interactive entertainment.,2014-03-17,95
Gaming Nexus,"A fleshed out Ellie story that brings you right back into the rich, dismal world Naughty Dog has crafted so thoroughly, The Last of Us: Left Behind is the DLC fans of the original never even knew they wanted.",2014-03-11,90
Games.cz,"A bonus to the ingenious game is atmospheric, and although it brings nothing original, a return of the likeable heroes along with great gameplay is perfectly fine, even though it lasts for a couple of hours.",2014-03-04,80
InsideGamer.nl,"Two and a half hours Left Behind has you laughing, get scared, angry and possibly even cry. The story is touching and the ruthless world of The Last of Us comes through even better than in the original game, due to little nuances in the gameplay. Left Behind is the highest quality of DLC.",2014-03-01,95
Telegraph,This blazingly intelligent and thoughtful addition makes me absolutely certain they could do it again if they tried.,2014-03-01,90
Thunderbolt,"It is ART, god damn it. And it’s wonderful.",2014-02-26,100
Eurogamer Portugal,"If I had to sum up the experience without saying anything concrete about the events, I would say that half was more of the same, and the other half made me like Ellie even more, this was also half that shook my ""foundations"" and that makes me recommend this DLC without hesitation.",2014-02-25,100
GameOver.gr,Even though it lasts 2.5 hours this single player DLC for Naughty Dog's masterpiece is a must-have for anyone who traveled with Ellie and Joel in the original game.,2014-02-25,80
GameCritics,"Left Behind is a fantastic piece of content, and Naughty Dog has again raised the bar for all developers who aim to tell character-driven stories. They just don't come better than this.",2014-02-21,100
Game Over Online,"If this is the last piece of story we get from The Last of Us and the franchise ends with one installment, it’s a good way to go out.",2014-02-21,97
Armchair Empire,"If you loved the main game (and if you didn't, why not?) then you are going to love this too. Go get it, and don't let yourself get Left Behind.",2014-02-21,95
GRYOnline.pl,Left Behind delivers more emotions that many mass-produced stories about saving the world. Naughty Dog has created a great script and delivered extremely likable and realistic main characters. This DLC offers something more than emotional storytelling - stealth levels are really great as well. Simply put - it's a must have for all fans of The Last of Us.,2014-02-20,90
Gamer.nl,"Left Behind is the perfect DLC. It’s not extra padding, doesn’t feel like it but comes across more like closure for a nearly perfect game. Left Behind enlarges the world with seemingly small additions that are so much more than an extra level.",2014-02-19,100
