id,review,type_review,platform,date,language,views,votes,score,split
yeezymane,"Графика - 10/10,Игровой процесс - 10/10,Сюжет - 10/10,Музыка - 9/10",expanded,ps3,2021-04-01,Russian,0,0,10,test
LloydNF,Beautiful game I'm on my second run and I don't get the hate for the second game it's good,expanded,ps3,2021-03-26,English,0,0,10,train
thehairyscreame,"this takes a done to death concept and puts a twist on it. while the gameplay is only ladders, the story more than makes up for it. the story is amazong and this is my favorite game made by my favorite devs.",expanded,ps3,2021-03-23,English,0,0,10,train
realistyalanci,"Best game i have ever played.Characters are so realistic.I am not talking about only main characters.Other characters are deep and consistent too.When you play the game you really think they're real.Storytelling and voice over are flawless.Especially Ashley Johnson who voiced Ellie.I think she is so talented and her voice is fit with Ellie.Other things(graphics,mechanics,combat,ambient,musics,details,A.I.) good too.Congrats.",normal,ps3,2021-03-16,English,0,0,10,train
Cliente,Essa sim a obra prima (história e jogo) que rendeu sucesso a série The Last Of Us e não a destruição que causaram na DLC e na parte 2. Melhor jogo já feito!!! Jogabilidade e história únicas,expanded,ps3,2021-03-15,Portuguese,0,0,10,test
Milemouse,"In my opinion, this is undoubtedly and simply put the greatest game of all time",expanded,ps3,2021-03-03,English,0,0,10,train
G_zod,plot!  drama!  this is the best game I've ever played!  Bravo!! there would be more such games!,normal,ps3,2021-03-02,English,0,0,10,train
ErickSvieira,"um dos melhores. the last 2 o melhor. e esse é o segundo melhor, sem duvidas",expanded,ps3,2021-03-02,Portuguese,0,0,10,train
deathstramding,"Naughty Dog and all the games she made, the whole series is amazing uncharted and last of us very great games my score is 10 to all",expanded,ps3,2021-02-22,English,0,0,10,train
celt1s,better than TLOU is TLOU Part 2. i don't know what i must say. Everybody know that.,expanded,ps3,2021-02-20,English,0,0,10,train
Olabi5,"Increíble juego es el mejor de los de play 3 y lo mejor aún es que es un juego AAA que eso lo hace aún más excelente, historia muy buena 10/10 juegazo",expanded,ps3,2021-02-19,Spanish,0,0,10,train
PeterMRus,"Сюжет рваный, начало непонятное. Джоэл первую половину игры бесчувственный баран с изменением мнения раз в 2 минуты. Карты СЛИШКОМ ЛИНЕЙНЫЕ от слова совсем. Всю игру вытягивает потрясный графон и детализация мира. К сожалению, одного графона не достаточно, поэтому 7 из 10",normal,ps3,2021-02-19,Russian,0,0,7,train
Mirriam7,Fantastic game! Really complex morality and fun gameplay. Would rekommend this to anyone,expanded,ps3,2021-02-18,English,0,0,10,train
PinDoss65,"Это лучшая игра прошлого десятилетия! Хоть в том же году вышла GTA V, ну и что? Это просто лучший проект, лучше чем GTA V!",normal,ps3,2021-02-15,Russian,0,0,10,train
ThomasPaine,This is probably the best game I have ever played for story and main characters.,expanded,ps3,2021-02-12,English,0,0,10,train
