id,review,type_review,date,language,views,votes,score
perro_loco,"Great DLC. It is a short one but it is a more personal aproach to Ellie characters. I think it has less story telling quality than the last of us original game, but it is a great DLC",expanded,2021-03-15,English,0,0,8
Milemouse,A fantastic and important addition that expands the narrative of a masterful game,expanded,2021-03-03,English,0,0,10
deathstramding,"Naughty Dog and all the games she made, the whole series is amazing uncharted and last of us very great games my score is 10 to all",expanded,2021-02-22,English,0,0,10
svensenk86,"I would like to see something like this for TLOU2 as well, nice addition which fills 2 nice gaps from the game itself. same score like the main game and Chapter 2. Pretty awesome",expanded,2021-02-02,English,0,0,10
Nyks0201,Riley i sevmiştim ama boyle ölmemeili idi yada nasıl oldugunu göstermeiliydi,normal,2021-01-18,Turkish,0,0,10
Kostas101,"It's a nice DLC, but It's honestly very short. I don't know if I recommend it or not, since it really doesn't add anything new except from some more backstory to Ellie.",expanded,2021-01-04,English,0,0,5
JoelArpal,A very good example of what a DLC should be. A short and good strory developing even more the characters and the world.,expanded,2020-12-30,English,0,0,8
AAGamerS,,normal,2020-12-27,Not identified,0,0,10
Ahshsh,,normal,2020-12-27,Not identified,0,0,10
Sun585,One of the things I like the most abot the TLOU series: It triggers Gamer Gate trolls :) You know? White  Gen X dudes who have 'Leon' phantasies about Joel and Ellie. And I'm so thankful that Naughty Dog just keeps on messing with them. Left Behind is a masterpiece. End of the story.,expanded,2020-12-04,English,0,0,10
genarkandur,The story (i am not sure if we can call this a story) is okay but the problem is it's too short. It takes 2 hours to finish and you can't feel satisfied.,expanded,2020-12-02,English,0,0,6
Cacasecaxxx,"La hermosa historia de dos niñas divirtiéndose en medio del apocalipsis, no lo recomiendo por nuevas mecánicas o un gameplay renovado, una historia larga o una renovación total o por que estaría mintiendo, lo recomiendo por lo que representa y lo que trata de hacer.",expanded,2020-11-14,Spanish,1,1,10
schatwal96,"This story was really amazing. The way it jumps between two different times in Ellie's life, both in a mall, was very cool. This is a MUST PLAY to anyone who finished the original game, but I don't know if it's worth the 15 dollars. That is the only reason I am taking away a star. If you can get past the price or got it for free, play this.",expanded,2020-10-24,English,1,1,9
alig88442,"Why did you make this game neil?,Just because sjw ??????",expanded,2020-09-20,English,2,0,0
asgharmirza481,"Naughty dog and neil druckman ruined the game with sjw.,This game is ***** . i hate it",expanded,2020-09-20,English,2,0,0
MGS_1,It was a terrible dlc. Don't buy this garbage. I hope Neil Druckmann don't be ND's next game director.,expanded,2020-09-14,English,2,0,0
JvMM,"Melhor dlc que já joguei, ela mostra os acontecimentos do primeiro game e também mostra o passado da Ellie.",expanded,2020-08-07,Portuguese,2,2,10
Mostach88,"No tiene nada que envidiar a la historia principal. Es cautivador, conmovedor y triste. ND sabe como desarrollar una historia de amistad, de amor y de lo que significa dejar algo atrás. Una narrativa brillante, una BSO infravalorada y grandes personajes como Ellie y Riley, hacen que este DLC sea innolvidable.",expanded,2020-08-02,Spanish,0,0,10
asadrocky,"Left Behind absolutely justifies its existence because Ellie's backstory adds so much to her motivations during the base game. Ellie and Riley's relationship is so easy to get invested to from the beginning. The game switches back forth perfectly between a part in the base game and 3 weeks before she met Joel. Both timelines have natural parallels to each other as the past timeline slowly starts relating to the current timeline. Riley strenghtens Ellie's character immensely as she takes many traits and beliefs from Riley, and it also adds weight to many scenes from the base game. Although only 3 hours long, its narrative is strong and the $15 price tag is reasonable. By far, one of the best story DLCs ever created!",normal,2020-07-24,English,0,0,10
piuscorvus,"Left Behind is a DLC that you should play after completing The Last of Us in order to avoid spoilers. In this game you control Ellie and go through a short event from the first game that was not actually shown. While playing, you will go through a few flashback memories of Ellie that will reveal a bit more about her past and her time before the events of the first game.,The gameplay mechanic is completely the same as in The Last of Us: you will encounter infected and armed people that you will either fight or seek for a way to avoid them. The only difference is that you control Ellie, who is much smaller and weaker than Joel.,The game is short, it is just a small additional part to the main game. I took me around two hours to complete it. You might even be able to stretch it to three if you really want to explore every corner of it.",normal,2020-07-24,English,0,0,9
Jouniac,"Heart wrenching backstory of Ellie. Gives even more weight for the ""main game"".",expanded,2020-07-21,English,2,2,9
DeCurtis115,El dlc left behind es perfecto para entender mas la historia de nuestra personaje principal ellie que mediante flashbacks explican como comienza su aventura y como logro curar a joel en el juego principal the last of us en conclusión es un dlc para explicar mas su historia y si te consideras fan te va a encantar y definitivamente lo tenes que jugar antes que jugar la partes 2,normal,2020-07-20,Spanish,0,0,10
Wraspita,"Es una muy buena expansión, realmente aporta algo nuevo e interesante a lo personaje de Ellie y a la historia principal cuenta con las mecánicas que todos amamos de tlou y nos dio la posibilidad de controlar a Ellie de nuevo, personaje que tiene mecánicas diferentes a las de Joel y añade más diversión, ya me lo he pasado más de tres veces y no me cansa de jugarlo, es corto por que tiene bastante re jugabilidad, los gráficos son buenos, los escenarios y la ambientación son una maravilla y no hablar de la música.",normal,2020-07-20,Spanish,0,0,10
kirilkarom,"Excellent DLC of a masterpiece game! Plus, great LGBTQ+ representation! I love it!",expanded,2020-07-19,English,0,0,9
Joelitos,Good game awesome job from naughty Dog  i Love it . Perfect story and good characters,normal,2020-07-17,English,0,0,10
sadsophiiie,"best dlc ever i’ve ever played, so so fun and playing as young ellie was amazing. the backstory of ellie and riley was also so cool and seeing how ellie saved joel",expanded,2020-07-15,English,0,0,10
gamingmachinery,No review present. No review present. No review present. No review present.,expanded,2020-07-14,English,0,0,9
Kiwia-Coco,"This DLC was so fun to play! Though not as action packed as the The Last of Us, that was no problem for me! I loved witnessing further character and world development as well as receiving background information on a crumbling society in the wake of a raging apocalypse. The reveal of Ellie and Riley’s young and innocent romance was awesome! It definitely inspired me into coming to terms and discovering my bisexuality later in life! Thinking back to when I played this game 5 years ago, I will always remember how inspired I felt seeing a resilient, tough, and witty young female character such as Ellie who usually in videogames tend to get underestimated. The fact that I’ve never forgotten that feeling or about TLOU and its DLC says a lot about just how amazing this game really is.",normal,2020-07-12,English,0,0,9
youmeow,"Emotionally moving, adds some informations about plot holes the from the initial game but not that important, too short for its price, but I personally loved to see and feel how Ellie truly is when she is herself without Joel or all the events of The initial game.",expanded,2020-07-12,English,0,0,8
IvanLF,"Gran DLC que explora la vida de Ellie, ahondando en su jugabilidad y descubriendo un pedazo de la historia que no pudimos ver con claridad en el juego original.",expanded,2020-07-10,Spanish,0,0,8
